property_id,bank_name,property,reserve_price,emd,emd_last_date,auction_start_date,auction_end_date,state,district,city
PUNB0U4041356201,PUNJAB NATIONAL BANK,RESIDENTIAL,,.00,,,,NAGALAND,DIMAPUR,DIMAPUR
PUNB0U4085321301,PUNJAB NATIONAL BANK,RESIDENTIAL,,.00,,,,NAGALAND,DIMAPUR,DIMAPUR
BARB009720210001,BANK OF BARODA,COMMERCIAL,"4,91,04,000.00","49,10,500.00",,,,NCT OF DELHI,DELHI,KAROL BAGH DELHI
BARB166020200001,BANK OF BARODA,RESIDENTIAL,"60,00,000.00","6,00,000.00",,,,NCT OF DELHI,DELHI,DELHI
BARB263920200029,BANK OF BARODA,RESIDENTIAL,,"7,20,000.00",,,,NCT OF DELHI,DELHI,DELHI
BARB263920200044,BANK OF BARODA,RESIDENTIAL,"4,17,92,000.00","41,79,000.00",,,,NCT OF DELHI,DELHI,New Delhi
BARB263920200058,BANK OF BARODA,INDUSTRIAL,"2,20,00,000.00","22,00,000.00",,,,NCT OF DELHI,DELHI,DELHI
BARB263920200059,BANK OF BARODA,INDUSTRIAL,"2,20,00,000.00","22,00,000.00",,,,NCT OF DELHI,DELHI,DELHI
BARB545608042103,BANK OF BARODA,RESIDENTIAL,,"18,40,000.00",,,,ODISHA,CUTTACK,Mouza
BARB545608042104,BANK OF BARODA,RESIDENTIAL,,"23,51,100.00",,,,ODISHA,CUTTACK,GOPALPUR CUTTACK
BARB545612032101,BANK OF BARODA,COMMERCIAL,,"11,03,700.00",,,,ODISHA,CUTTACK,CUTTACK
BARB545612032103,BANK OF BARODA,COMMERCIAL,,"6,50,000.00",,,,ODISHA,CUTTACK,CUTTACK
BARB545612032106,BANK OF BARODA,INDUSTRIAL,,"8,02,500.00",,,,ODISHA,KHORDHA,BHUBANESWAR
BARB545612052102,BANK OF BARODA,OTHERS,,"8,64,000.00",,,,ODISHA,JHARSUGUDA,JHARSUGUDA
BARB604220200013,BANK OF BARODA,COMMERCIAL,"2,11,00,000.00","21,10,000.00",,,,PUDUCHERRY,PUDUCHERRY,TOWN
CORP0020190799,UNION BANK OF INDIA,COMMERCIAL,"1,18,00,000.00","11,80,000.00",,,,PUDUCHERRY,PUDUCHERRY,PUDUPALAYAM
CORP0020190800,UNION BANK OF INDIA,COMMERCIAL,"78,00,000.00","7,80,000.00",,,,PUDUCHERRY,PUDUCHERRY,SARAM
CORP0020190801,UNION BANK OF INDIA,COMMERCIAL,"7,67,20,000.00","76,72,000.00",,,,PUDUCHERRY,PUDUCHERRY,REDDIYARPALAYAM
CORP0020190802,UNION BANK OF INDIA,COMMERCIAL,"8,80,20,000.00","88,02,000.00",,,,PUDUCHERRY,PUDUCHERRY,REDDIYARPALAYAM
CORP0020190803,UNION BANK OF INDIA,COMMERCIAL,"14,32,00,000.00","1,43,20,000.00",,,,PUDUCHERRY,PUDUCHERRY,OULANDAI
BARB0202036,BANK OF BARODA,COMMERCIAL,"65,18,100.00","65,18,100.00",,,,PUNJAB,SHAHID BHAGAT SINGH NAGAR,Nawansehar
BARB345120200002,BANK OF BARODA,RESIDENTIAL,"9,00,000.00","90,000.00",,,,PUNJAB,RUPNAGAR,RUPNAGAR
BARB377505112101,BANK OF BARODA,INDUSTRIAL,"3,26,29,400.00","32,62,940.00",,,,PUNJAB,FATHEGARH SAHIB,"MANDI GOBINDGARH, DISTRICT FATEHGARH SAHIB"
BARB377506112101,BANK OF BARODA,RESIDENTIAL,"8,11,07,200.00","81,10,720.00",,,,PUNJAB,AMRISTAR,"CANTONMENT CHOWK, HARKIRAT ROAD, AMRITSAR"
BARB377506112111,BANK OF BARODA,OTHERS,"96,43,900.00","9,64,390.00",,,,PUNJAB,FATHEGARH SAHIB,"VILLAGE BRAHMIN MAJRA, HATEHGARH SAHIB"
BARB604620200002,BANK OF BARODA,RESIDENTIAL,"41,78,500.00","4,17,850.00",,,,PUNJAB,KAPURTHALA,"KHERA,PHAGWARA"
BARB081320200001,BANK OF BARODA,RESIDENTIAL,"41,04,000.00","4,10,400.00",,,,RAJASTHAN,TONK,"KAKOD, UNIYARA"
BARB097920210015,BANK OF BARODA,COMMERCIAL,"43,62,660.00","4,36,200.00",,,,RAJASTHAN,PALI,PALI
BARB097920210016,BANK OF BARODA,COMMERCIAL,"38,51,550.00","3,85,155.00",,,,RAJASTHAN,PALI,pali
